participant,event,vividness,confidence,age,detail_object,detail_person,detail_place,gist_object,gist_person,gist_place
118,4,1.902777778,3.282986111,1,1,1,0,1,1,1
118,16,1.186631944,1.308159722,1,1,0,1,1,1,1
118,11,1.954861111,2.362847222,1,0,0,1,1,1,1
118,23,1.043402778,1.086805556,1,1,1,0,1,1,1
118,6,1.980902778,2.484375,1,1,1,0,1,1,1
118,24,1.203993056,1.295138889,1,0,1,0,1,1,1
118,10,1.0390625,1.199652778,1,1,1,1,1,1,1
118,3,1.130208333,1.203993056,1,0,1,0,1,1,1
118,2,1.112847222,1.182291667,1,1,0,1,1,1,1
118,17,1.920138889,3.074652778,1,1,1,1,1,1,1
118,18,1.047743056,1.164930556,1,0,1,0,1,1,1
118,19,1.017361111,1.065104167,1,1,1,1,1,1,1
11,18,2.597222222,2.597222222,1,0,1,0,0,1,0
11,12,2.842592875,2.861111111,1,1,0,0,1,0,0
11,9,1.870370441,1.870370441,1,0,0,0,0,0,0
11,23,1.870370441,1.712963104,1,1,0,1,1,1,1
11,5,1.587963104,1.916666667,1,0,1,0,1,1,0
11,6,2.467592663,2.38425933,1,1,0,0,1,0,0
11,19,1.763888889,1.763888889,1,1,1,0,1,1,0
11,1,1.763888889,1.925925997,1,1,0,0,1,0,0
11,7,1.962963104,2.032407549,1,1,1,0,1,1,0
11,2,2.027777778,1.814814885,1,0,0,0,0,1,0
11,10,1.523148219,1.189814885,1,1,0,0,1,0,1
11,15,1.680555556,1.337963104,1,1,0,0,1,0,0
11,22,1.981481552,1.981481552,1,0,0,1,0,0,1
11,16,1.282407549,1.189814885,1,0,0,0,0,0,0
11,11,1.597222222,1.805555556,1,0,0,0,0,0,0
11,13,1.615740882,1.754629771,1,0,0,0,1,0,0
11,24,1.64351866,1.833333333,1,0,0,0,0,0,0
11,17,2.111111111,2.078703774,1,0,0,0,0,0,0
11,20,2.189814885,2.351851993,1,0,0,0,0,0,0
11,8,1.467592663,1.037037108,1,0,0,0,0,0,0
